feature,importance
mean,0.1211974672792049
min,0.11207497003854042
max,0.09579634581227649
mean_abs_change,0.09212487141257346
zero_crossing_rate,0.08745584464407355
trend_slope,0.08393498614889866
std_1st_diff,0.08287318659522626
trend_strength,0.07414497382266531
std,0.0694133254093692
kurtosis,0.059700932712329666
skewness,0.05258876295904113
complexity_score,0.028359869513924375
has_trend,0.015145424824757127
is_stationary,0.010969977677772715
has_seasonality,0.009580118350353141
seasonal_period,0.004638942798993668
outlier_pct,0.0
missing_pct,0.0
diff_needed,0.0
volatility,0.0
length,0.0
entropy,0.0
pacf_lag1,0.0
autocorr_lag1,0.0
adf_pvalue,0.0
range,0.0
cv,0.0
seasonal_strength,0.0
